age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
47;1;4;4;4;4;16;4;3;3;3;3;3;3;3;3;3;3;30;3;2;2;2;
69;1;;;;;;;;;;;;;;;;;;;3;3;3;
84;0;;;;;;;;;;;;;;;;;;;;;;
66;0;;;;;;;;;;;;;;;;;;;1;1;1;
71;1;5;4;4;5;18;4,5;5;4;3;3;3;2;3;5;4;2;34;3,4;;;;
81;0;4;4;3;4;15;3,75;1;2;4;5;5;2;4;4;4;2;33;3,3;1;2;;
68;0;;;;;;;;;;;;;;;;;;;3;3;3;
58;0;5;5;5;5;20;5;3;1;1;1;1;3;1;1;3;1;16;1,6;1;;;
37;1;4;4;2;4;14;3,5;1;2;1;3;3;1;2;1;2;1;17;1,7;;;;
32;0;3;3;4;4;14;3,5;2;2;1;3;4;1;2;1;1;2;19;1,9;;;;
73;0;;;;;;;;;;;;;;;;;;;3;3;3;
78;0;;;;;;;;;;;;;;;;;;;3;;;
67;0;;;;;;;;;;;;;;;;;;;3;3;3;
76;0;3;4;3;2;12;3;4;3;4;3;4;3;3;4;4;2;34;3,4;3;3;3;
31;0;3;2;3;2;10;2,5;2;1;2;3;3;1;1;2;1;1;17;1,7;1;1;1;1
44;0;;;;;;;;;;;;;;;;;;;1;;;
45;0;3;2;4;3;12;3;1;2;2;1;4;2;1;2;2;2;19;1,9;;;;
32;0;;;;;;;;;;;;;;;;;;;1;;;
50;0;4;4;4;4;16;4;3;1;1;2;2;1;1;3;1;1;16;1,6;1;1;1;1
56;0;;;;;;;;;;;;;;;;;;;2;1;1;2
44;0;;;;;;;;;;;;;;;;;;;1;1;1;1
68;1;;;;;;;;;;;;;;;;;;;3;3;;
68;1;;;;;;;;;;;;;;;;;;;2;1;1;
63;1;;;;;;;;;;;;;;;;;;;3;;;
74;1;;;;;;;;;;;;;;;;;;;2;1;1;
68;0;3;4;3;4;14;3,5;4;2;3;3;4;2;3;4;3;2;30;3;3;3;3;
77;0;3;3;3;5;14;3,5;2;2;2;3;5;2;2;3;3;3;27;2,7;1;1;1;1
33;1;;;;;;;;;;;;;;;;;;;3;3;3;3
30;1;4;4;5;5;18;4,5;4;4;4;2;5;2;3;3;3;3;33;3,3;;;;
72;1;;;;;;;;;;;;;;;;;;;1;1;1;1
33;1;3;3;3;3;12;3;4;5;5;4;5;3;5;4;3;2;40;4;3;;;
31;0;;;;;;;;;;;;;;;;;;;1;;;
34;1;3;4;5;5;17;4,25;4;2;2;1;2;2;3;2;2;1;21;2,1;;;;
