V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
304092303,-1,0,0,1,1,2,2,0,1.03283271,-1,1,1,0,0,0,1,0,0,0
304124453,NA,0,0,1,3,2,2,NA,0.254864201,1,1,1,0,0,0,NA,1,0,0
305338429,2,0,0,1,NA,NA,2,-1,0.479623826,NA,0,0,0,1,1,1,NA,NA,0
301386637,1,0,0,1,3,1,3,0,0.320178889,2,1,1,1,1,2,4,1,0,0
303008660,2,0,0,1,1,1,5,0,0.169213911,0,1,1,1,1,2,4,0,0,1
303131470,0,0,0,1,3,1,5,2,0.146192886,2,1,1,1,0,1,4,1,0,1
303221978,-1,0,0,1,1,2,4,NA,0.11294825,-1,1,1,0,0,0,2,0,0,0
304957203,2,0,0,1,1,2,6,0,0.192673265,-1,1,1,1,1,2,4,0,0,1
304957971,1,0,0,1,1,1,3,-1,0.373394107,0,1,1,1,1,2,4,0,0,0
302473643,-1,1,0,0,1,3,2,-1,0.767776221,-2,1,2,1,1,2,4,0,1,0
302524336,0,1,0,0,1,4,5,0,1.618962441,-3,1,2,1,1,2,4,0,1,1
302601840,0,1,0,0,1,2,5,-1,0.869290985,-1,1,1,1,1,2,4,0,0,1
302611113,-1,1,0,0,1,2,5,-2,0.876185615,-1,1,1,1,1,2,4,0,0,1
302684589,-2,1,0,0,2,2,5,0,1.370699285,0,1,1,1,1,2,3,0,0,1
302835378,-1,1,0,0,2,NA,2,0,0.604967652,NA,0,0,0,0,0,4,0,NA,0
302940898,-1,1,0,0,1,3,5,-1,1.150385605,-2,1,2,1,1,2,4,0,1,1
303125557,-1,1,0,0,1,1,5,0,0.423330545,0,1,1,1,1,2,4,0,0,1
303151891,-2,1,0,0,1,1,5,-1,1.913050252,0,1,1,1,1,2,4,0,0,1
303225450,0,1,0,0,1,1,3,0,1.749185358,0,1,1,0,0,0,3,0,0,0
303262391,2,1,0,0,1,2,2,-2,0.827936647,-1,1,1,1,1,2,4,0,0,0
303265654,-1,1,0,0,1,1,5,1,0.777013241,0,1,1,0,0,0,2,0,0,1
303571922,-1,1,0,0,1,1,3,0,1.04901362,0,1,1,0,0,0,4,0,0,0
303619767,0,1,0,0,1,NA,4,0,0.105940532,NA,0,0,1,1,2,NA,0,NA,0
